sex,organ_id,dataset_id,ensembl_id,mean_gene_expr_value,cell_label,annotation_method
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000134571,1.9997491836547852,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000154262,1.6440889835357666,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000100979,1.2612898349761963,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000062282,1.1218373775482178,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000145703,1.0380631685256958,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000134571,3.497051954269409,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000154262,2.9709348678588867,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000100979,2.057668447494507,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000152270,2.778747797012329,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20left%20ventricle,ENSG00000145703,2.546729803085327,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000154262,1.2714383602142334,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000134571,1.7543386220932007,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000132170,1.5590238571166992,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000154262,2.4061663150787354,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000134571,3.1980466842651367,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$apex%20of%20heart,ENSG00000132170,2.848238706588745,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000134571,1.7379176616668701,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000154262,1.4342817068099976,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000152270,0.9338822960853577,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000145703,0.9104812145233154,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000169692,1.1333390474319458,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000134571,3.1860995292663574,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000154262,2.6063175201416016,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000169692,2.1065497398376465,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$heart%20right%20ventricle,ENSG00000152270,2.7051749229431152,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,ENSG00000134571,1.4612674713134766,Monocyte-derived Mφ,azimuth
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,ENSG00000134571,2.762704849243164,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,ENSG00000100979,1.9524260759353638,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,ENSG00000134571,3.228839874267578,Monocyte-derived Mφ,celltypist
Female,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D1$left%20cardiac%20atrium,ENSG00000169692,2.620288848876953,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000134571,1.9474906921386719,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000154262,1.2735657691955566,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000132170,1.72031569480896,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000152270,1.4298763275146484,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000134571,3.431936740875244,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000154262,2.437053680419922,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000132170,2.9042835235595703,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$apex%20of%20heart,ENSG00000152270,2.5493111610412598,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000134571,1.8940272331237793,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000152270,1.4795045852661133,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000132170,1.46705961227417,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000154262,1.393555998802185,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000134571,2.1879189014434814,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000134571,3.3593978881835938,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000152270,2.8066787719726562,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000132170,2.770167589187622,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000154262,2.619065761566162,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$left%20cardiac%20atrium,ENSG00000134571,2.8021817207336426,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000154262,1.271131992340088,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000134571,1.8843210935592651,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000132170,1.7417209148406982,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000152270,1.1716605424880981,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000154262,2.417746067047119,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000134571,3.3678088188171387,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$heart%20left%20ventricle,ENSG00000132170,2.844505548477173,Monocyte-derived Mφ,celltypist
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,ENSG00000154262,1.1849033832550049,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,ENSG00000134571,1.7836894989013672,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,ENSG00000152270,1.899165391921997,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,ENSG00000132170,1.6975135803222656,Monocyte-derived Mφ,azimuth
Male,http://purl.obolibrary.org/obo/UBERON_0000948,https://api.cellxgene.cziscience.com/dp/v1/collections/b52eb423-5d0d-4645-b217-e1c6d38b2e72#D2$right%20cardiac%20atrium,ENSG00000134571,2.7705936431884766,Monocyte-derived Mφ,azimuth
